tra_cov,aircraft,distance,geo,TIME_PERIOD,Number of Passengers,Number of Flights
INTL,AC_JJ,KM1000-1499,IE,2008,62358,331
INTL,AC_JJ,KM1000-1499,IE,2009,31836,175
INTL,AC_JJ,KM1000-1499,IE,2010,12687,70
INTL,AC_JJ,KM1000-1499,IE,2011,9886,53
INTL,AC_JJ,KM1000-1499,IE,2012,8710,48
INTL,AC_JJ,KM1000-1499,IE,2013,5367,28
INTL,AC_JJ,KM1000-1499,IE,2014,5059,27
INTL,AC_JJ,KM1000-1499,IE,2015,1817,11
INTL,AC_JJ,KM1000-1499,IE,2016,0,0
INTL,AC_JJ,KM1000-1499,IE,2017,3312,22
INTL,AC_JJ,KM1000-1499,IE,2018,342,2
INTL,AC_JJ,KM1000-1499,IE,2019,1095,8
INTL,AC_JJ,KM1000-1499,IE,2020,529,4
INTL,AC_JJ,KM1000-1499,UK,2008,3083938,18858
INTL,AC_JJ,KM1000-1499,UK,2009,2049461,12970
INTL,AC_JJ,KM1000-1499,UK,2010,1582968,8933
INTL,AC_JJ,KM1000-1499,UK,2011,1198971,5816
INTL,AC_JJ,KM1000-1499,UK,2012,976359,4688
INTL,AC_JJ,KM1000-1499,UK,2013,872069,4330
INTL,AC_JJ,KM1000-1499,UK,2014,896281,4481
INTL,AC_JJ,KM1000-1499,UK,2015,675558,3408
INTL,AC_JJ,KM1000-1499,UK,2016,610891,3073
INTL,AC_JJ,KM1000-1499,UK,2017,674159,3404
INTL,AC_JJ,KM1000-1499,UK,2018,592230,3058
INTL,AC_JJ,KM1000-1499,UK,2019,502257,2669
INTL,AC_JJ,KM1000-1499,UK,2020,75403,441
INTL,AC_JJ,KM1500-1999,IE,2008,126242,616
INTL,AC_JJ,KM1500-1999,IE,2009,85643,420
INTL,AC_JJ,KM1500-1999,IE,2010,11070,64
INTL,AC_JJ,KM1500-1999,IE,2011,9828,60
INTL,AC_JJ,KM1500-1999,IE,2012,3128,18
INTL,AC_JJ,KM1500-1999,IE,2013,5873,34
INTL,AC_JJ,KM1500-1999,IE,2014,4257,26
INTL,AC_JJ,KM1500-1999,IE,2015,5479,31
INTL,AC_JJ,KM1500-1999,IE,2016,5255,32
INTL,AC_JJ,KM1500-1999,IE,2017,7682,46
INTL,AC_JJ,KM1500-1999,IE,2018,51890,324
INTL,AC_JJ,KM1500-1999,IE,2019,122966,779
